Text,Index
"['一次', '三週年', '甜點', '盤']",11
"['一樣', '好吃']",14
"['想當初', '他們', '剛', '開時', '大二', '中間', '疫情']",9
"['現在', '畢業', '迎來', '他們', '第三年', '特別', '有感']",14
"['抹', '心悸', '好吃']",5
"['抹', '心悸', '好吃']",9
"['口感', '軟偏', '紮實', '搭', '上', '順口', '濃抹', '鮮奶油', '絕配']",9
"['微甜', '不膩', '輕柔', '口感', '流連忘返']",5
"['搜尋', '地區', '甜食', '吃', '中山', '國', '中']",4
"['搜尋', '種類', '甜食', '吃', '千層']",4
"['搜尋', '店家', '甜食', '吃']",4
"['請問', '多少錢']",0
"['這家', '抹', '茶', '真的', '濃到', '醉', '想', '說', '一定', '一次']",0
"['全餐', '滿意']",18
['食'],2
"['走走', '走']",3
"['我們', '抹', '茶', '日']",16
"['抹', '茶控']",11
"['抹', '茶控']",0
"['最愛', '雨', '一定', '安排']",0
"['看起來', '很肥', '要分', '吃']",0
"['抹', '茶']",1
"['抹妹', '愛店']",0
['抹'],0
"['抹', '茶']",0
"['抹', '茶', '愛好', '愛', '流口水']",1
"['二', '周年', '還沒', '發文']",5
['幸福'],1
"['抹', '茶', '全餐', '太', '讚']",1
"['完全', '菜']",0
"['抹', '茶', '控瘋掉']",0
"['滿滿', '抹', '茶', '太', '幸福']",0
"['這也', '太', '邪惡']",0
"['抹', '茶', '全餐', '拼盤', '下週', '吃']",0
"['抹', '茶']",0
"['抹', '茶控', '最愛']",1
"['抹', '茶', '拼盤']",0
"['抹', '想', '吃']",0
"['太', '吸引', '收藏', '起來']",1
"['問下', '抹妹', '拼盤', '售價']",0
"['我們', '吃', '好不好']",0
['一人份'],2
['台北'],14
['吃'],0
['抹'],2
"['寶貝', '想', '吃']",16
"['請問', '兩天']",0
"['抹', '茶', '完全', '生火']",3
"['計畫', '先', '暫停', '一下', '陪', '吃']",0
['帶我去'],9
['抹'],0
"['全部都是', '抹', '茶', '實在', '太棒了']",18
"['身為', '抹', '茶控', '一定', '謝謝', '作者']",0
"['抹', '茶']",1
"['抹', '茶']",0
"['不能不', '把握', '機會', '來', '吃', '吃', '看吧']",11
"['不能不', '把握', '機會', '來', '吃', '吃', '看吧']",9
"['一絲絲', '香濃', '濃稠', '抹', '茶', '醬']",0
"['混在', '一起', '吃', '一口', '想', '大力', '鼓掌']",5
"['搜尋', '地區', '甜食', '吃', '永春']",4
"['搜尋', '種類', '甜食', '吃', '鬆餅']",4
"['奶茶', '季', '期間', '限定']",11
